AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Aaron J. Blake	Black Belt Second Degree	Black	2	Aaron Blake Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Joseph France	Black Belt First Degre	Black	1	BETA Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Joseph Zaballos	Black Belt	Black		Double Five Highland Village	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Keolaokalani Reis	Black Belt	Black		Maui Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Michael Ard	Black Belt Second Degree	Black	2	Super System BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Michael Martinez	Black Belt	Black		Coalition 95	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Michael Milam	Black Belt Second Degree	Black	2	Renzo Gracie Academy Portland	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abby Brooke Malone	Black Belt Third Degree	Black	3	Jory Malone Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abdallah Ismail Hassan Jaber	Black Belt Third Degree	Black	3	Gracie Barra Campo Grande - MS	Confederação Brasileira de Jiu-Jitsu	CBJJ
Abdel Aziz Cherigui	Black Belt Third Degree	Black	3	Gracie Barra Ajman - UAE	International Brazilian Jiu-Jitsu Federation	IBJJF
Abdelghafour Ben Brahim	Black Belt First Degre	Black	1	PAT Academy Belgium	International Brazilian Jiu-Jitsu Federation	IBJJF
Abenildo Fernandes	Black Belt First Degre	Black	1	Academia Coliseu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Abiderman Souza Carvalho	Black Belt	Black		Academia Deo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Abmar Marcelo Barbosa	Black Belt Third Degree	Black	3	Abmar Barbosa Association	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abraao Amorim Magalhaes	Black Belt First Degre	Black	1	Gulf Breeze Brazilian Jiu-Jitsu / Checkmat	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abraão Pereira Santareno	Black Belt Second Degree	Black	2	Gracie Barra Laranjeiro	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Adalberto Maia Vital Júnior	Black Belt First Degre	Black	1	Carioca Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adalton de Carvalho	Black Belt First Degre	Black	1	Tonicão Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adam Bruce Sachnoff	Black Belt First Degre	Black	1	10th Planet Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam D Depew	Black Belt Second Degree	Black	2	Choke-U	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam G. Coleman	Black Belt	Black		Bowie MMA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam Glenn Golden	Black Belt Third Degree	Black	3	Gracie Barra Orlando	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam Jones	Black Belt	Black		Lin Martial Arts	International Brazilian Jiu-Jitsu Federation	IBJJF
Adam Kiely	Black Belt	Black		Mill Hill BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Adam M Sawyer	Black Belt	Black		Equipe Tsunami Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam Marc Brofsky	Black Belt Second Degree	Black	2	Villardo Jiu Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adamo Vasconcelos  Fraga	Black Belt	Black		Brazilian Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adão Almeida Vasconcelos	Black Belt Third Degree	Black	3	BD Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adão de Sousa Moura Neto	Black Belt Second Degree	Black	2	João Roque JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adão Januario de Oliveira	Black Belt Third Degree	Black	3	Gracie Barra America	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adeildo José Silva de Melo	Black Belt	Black		GF Team Texas	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adelino Augusto Arakaki Martins	Black Belt	Black		Fight Sports Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Ademar Antonio De Araujo Jr.	Black Belt	Black		Marco Nascimento BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Ademir Aparecido de Souza	Black Belt First Degre	Black	1	Otávio de Almeida	Confederação Brasileira de Jiu-Jitsu	CBJJ
Ademir Morais Farias	Black Belt	Black		G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Ademir Pereira de Oliveira	Black Belt Third Degree	Black	3	Team Oliveira	United States Brazilian Jiu-Jitsu Federation	USBJJF
Ademir Toshio Ohta	Black Belt	Black		Gracie Barra Campinas	Confederação Brasileira de Jiu-Jitsu	CBJJ
Aderval Da Rocha Ferreira Filho	Black Belt First Degre	Black	1	CTF Excelência em Lutas	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adhemar Bereta Junior	Black Belt Fourth Degree	Black	4	CheckMat	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adielson Meireles Espindola	Black Belt	Black		Gracie Barra Luziânia GO	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adila Pereira da Silva Souto	Black Belt	Black		Adila BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adilson Antonio de Souza	Black Belt Fifth Degree	Black	5	Bon-Sai Association Internacional	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adilson Chieri Júnior	Black Belt Second Degree	Black	2	ESJJ - Excelence School Of Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adilson Higa Dorval	Black Belt Third Degree	Black	3	Higa Jiu-Jitsu Clube	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adilson Jorge de Lima	Black Belt Sixth Degree	Black	6	Clube de Jiu-Jitsu Pitbull Czech Republic	International Brazilian Jiu-Jitsu Federation	IBJJF
Adimilson da Rosa Brites	Black Belt Sixth Degree	Black	6	Equipe Juquinha	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adinan Patrik de Campos	Black Belt First Degre	Black	1	Elite Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adlene Khaled Barbara	Black Belt	Black		MB Academy	International Brazilian Jiu-Jitsu Federation	IBJJF
Adnaldo de Castro Pereira Junior	Black Belt	Black		Gracie Barra Alagoinhas	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adolfo Cesar Tozi Ferreira	Black Belt Third Degree	Black	3	G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adrian Iriarte	Black Belt	Black		American Top Team Connecticut	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adriana Lima de Jesus	Black Belt First Degre	Black	1	Gracie Humaita	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriana Martins Duarte Pinto	Black Belt First Degre	Black	1	Akxe BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriana Ramos Alves Ribeiro	Black Belt	Black		Oss Jiu-Jitsu Brasileiro IBF-MGT BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriana Rosario Rego Granja Gatto	Black Belt First Degre	Black	1	Gracie Barra Almada	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Adriano da Silva Machado	Black Belt First Degre	Black	1	GF Team California	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adriano Ferreira de Araujo e Silva	Black Belt Fourth Degree	Black	4	Barbante Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Gregorini Junior	Black Belt	Black		Morumbi Jiu-Jitsu Academy	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Inácio de Rosa	Black Belt First Degre	Black	1	Marra Senki - Power Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Jose Butzke Quintana	Black Belt	Black		Constrictor Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Knebl	Black Belt	Black		American Top Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adriano Morilo Soares	Black Belt Second Degree	Black	2	Anibal Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Padua Souza Gomes	Black Belt Second Degree	Black	2	Equipe Vilhena Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Pinto Constantino Junior	Black Belt Fourth Degree	Black	4	Constantino Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Ribeiro Ornellas	Black Belt Fourth Degree	Black	4	Brazilian Top Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Ribeiro Pires	Black Belt Fifth Degree	Black	5	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Soares Ferreira	Black Belt First Degre	Black	1	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Ulisses Deda Chagas Melo	Black Belt First Degre	Black	1	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adriano Viegas de Freitas	Black Belt Third Degree	Black	3	Universidade Católica de Brasília	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adrien Fauck	Black Belt First Degre	Black	1	JC Melun	International Brazilian Jiu-Jitsu Federation	IBJJF
Adrien Roberto Domingues	Black Belt Third Degree	Black	3	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Afonso Brasil de Almeida Júnior	Black Belt	Black		Ricardo Pinho	Confederação Brasileira de Jiu-Jitsu	CBJJ
Agnaldo Oliveira Melo	Black Belt	Black		Familia Marcio Frank BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Agustin Climent Tommasi	Black Belt Third Degree	Black	3	Mario Sukata Internacional	International Brazilian Jiu-Jitsu Federation	IBJJF
Ahmad A. M. Alhouli	Black Belt Second Degree	Black	2	Gracie Barra Kuwait Academy (Kyokai)	International Brazilian Jiu-Jitsu Federation	IBJJF
Ahmad Zahabi	Black Belt First Degre	Black	1	Burlington BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Ailson Henrique Brites	Black Belt Sixth Degree	Black	6	Team Jucão	United States Brazilian Jiu-Jitsu Federation	USBJJF
Ailton Azevedo Barbosa	Black Belt Fourth Degree	Black	4	American Top Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Airton Alves de Andrade	Black Belt Second Degree	Black	2	Atos Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Airton Pereira dos Santos	Black Belt	Black		Clube Orley Lobato	Confederação Brasileira de Jiu-Jitsu	CBJJ
Akichika Tanji	Black Belt Third Degree	Black	3	Brave Heart	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Akihiro Shibuya	Black Belt First Degre	Black	1	Hiro BJJ Academy Yokohama	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Akihisa Iwai	Black Belt First Degre	Black	1	Barbosa Jiu-Jitsu Japan	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Akihito Kato	Black Belt First Degre	Black	1	Grappling Shoot Boxers	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Akira Hosokawa	Black Belt Second Degree	Black	2	Alma Fight Gym Homies	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Akira Kibe	Black Belt First Degre	Black	1	Splash	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Akiyuki Miyamoto	Black Belt First Degre	Black	1	Grip Jiu-Jitsu Team	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Alain Boret Mandengué	Black Belt Second Degree	Black	2	CDK Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Alain Nagera	Black Belt Fourth Degree	Black	4	Academie Attila	International Brazilian Jiu-Jitsu Federation	IBJJF
Alain Perrault	Black Belt First Degre	Black	1	Team Perrault	International Brazilian Jiu-Jitsu Federation	IBJJF
Alan da Silva Lessa	Black Belt	Black		Familia Absoluto BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alan Douglas Pereira do Nascimento	Black Belt Third Degree	Black	3	Checkmat Alan FinFou	International Brazilian Jiu-Jitsu Federation	IBJJF
Alan J. Gatoff	Black Belt	Black		Team Jucão	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alan Lowry	Black Belt First Degre	Black	1	BJJ School Belfast	International Brazilian Jiu-Jitsu Federation	IBJJF
Alan Regis de Assis	Black Belt Third Degree	Black	3	Carlson Gracie Mato Grosso Do Sul	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alan Robert Marques	Black Belt Third Degree	Black	3	Heroes Martial Arts	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alan Rodrigo de Moraes	Black Belt Fourth Degree	Black	4	Ares BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Albert Allen Hughes	Black Belt Second Degree	Black	2	Fight Sports	United States Brazilian Jiu-Jitsu Federation	USBJJF
Albert Frederic do Couto Souza	Black Belt Third Degree	Black	3	Nabil Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alberto Antonio Cisneros Alcalde	Black Belt	Black		Gracie San Salvador	International Brazilian Jiu-Jitsu Federation	IBJJF
Alberto Bremgartner Neto	Black Belt Third Degree	Black	3	De La Riva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alberto Ceretto	Black Belt First Degre	Black	1	Braga Fight Team / Italy	International Brazilian Jiu-Jitsu Federation	IBJJF
Alberto Crane	Black Belt Fourth Degree	Black	4	Legacy Jiu-Jitsu - Team Alberto Crane	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alberto Fernando Ramos Dias	Black Belt	Black		Eq. Claudionor Cardoso	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alberto Frederico Moraes da Rocha	Black Belt	Black		Strauch JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alberto Henrique Ferrer Junior	Black Belt First Degre	Black	1	Ferrer BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Alberto Hipácio Miná de Araújo	Black Belt Third Degree	Black	3	Gracie Barra Greece	International Brazilian Jiu-Jitsu Federation	IBJJF
Alberto Vieira da Silva	Black Belt	Black		Marra Senki Brazilian Jiu Jitsu Academy LLC	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alcino Seibt	Black Belt Third Degree	Black	3	PS Phoenix BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Aldiney Chardson de Lima Carvalho	Black Belt Fourth Degree	Black	4	Ogre School Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Aldo Batista Dos Santos	Black Belt Second Degree	Black	2	Icon Jiu-Jitsu Team - USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aldo Januario de Oliveira	Black Belt Fourth Degree	Black	4	Caveirinha Jiu-Jitsu Family USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aldo Max Bastos de Azevedo	Black Belt Second Degree	Black	2	Rilion Gracie Balneário Camboriú	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alejandro Ezequiel Roman Cardozo	Black Belt	Black		Renzo Gracie Mexico	International Brazilian Jiu-Jitsu Federation	IBJJF
Alejandro Lopez Guerrero	Black Belt Second Degree	Black	2	Way of the Warrior BJJ Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alejandro Siqueira Doudement	Black Belt Second Degree	Black	2	Gracie Barra Southlake Texas	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alessandra Vieira Jamgochian	Black Belt Fifth Degree	Black	5	CheckMat USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alessandro Aparecido Capodeferro	Black Belt Third Degree	Black	3	Escola Bragantina de Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro Brandão Bogado	Black Belt Second Degree	Black	2	Gracie Humaita	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro da Silva João	Black Belt	Black		Demian Maia Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro Ferreira da Silva	Black Belt Second Degree	Black	2	Gracie Fighter	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alessandro Ferreira da Silva	Black Belt Third Degree	Black	3	ACT JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro Marins Marcondes Medeiros	Black Belt Fourth Degree	Black	4	Gracie Barra Barra da Tijuca	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro Moraes Ferreira Alegre	Black Belt First Degre	Black	1	Maromba Academia	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro Moreira Nunes	Black Belt Second Degree	Black	2	Pax Jiu-Jitsu Academy	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alessandro Savajo Eto	Black Belt	Black		Infight Japan Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Alessandro Soares	Black Belt Second Degree	Black	2	Rilion Gracie JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Aparecido Maeda	Black Belt Third Degree	Black	3	Alliance JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Barros de Oliveira	Black Belt Second Degree	Black	2	Familia Andre Marola	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Costa Gomes	Black Belt First Degre	Black	1	Attack JJ Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex de Araújo Paz	Black Belt Fourth Degree	Black	4	Clube de Lutas Australia	International Brazilian Jiu-Jitsu Federation	IBJJF
Alex de Moraes L. Figueredo	Black Belt First Degre	Black	1	Cesar Maillet Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Gil Braga de Figueiredo Costa	Black Belt	Black		Ribeiro Jiu-Jitsu Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Jordys de Sousa Coelho	Black Belt First Degre	Black	1	MKBJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Luiz dos Anjos Santos	Black Belt Third Degree	Black	3	Michel Maia Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Martins do Nascimento	Black Belt Second Degree	Black	2	AMBJJ - Alex Martins Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alex Martins Faria	Black Belt First Degre	Black	1	SIA - Sharpen Iron Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alex Pereira da Costa	Black Belt Second Degree	Black	2	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Phillip Ross	Black Belt	Black		Alliance USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alex S. P. Marshall	Black Belt First Degre	Black	1	BMAC / GFTeam Boston	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alex Sander Mucceda Leite	Black Belt	Black		Anibal Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Sandro Alves	Black Belt First Degre	Black	1	Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Sandro da Silva	Black Belt Third Degree	Black	3	Alex Silva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Sandro Gonçalves	Black Belt	Black		BVH Jiu Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Sandro Santos de Oliveira	Black Belt	Black		Alex Oliveira Team Jiu-Jitsu AOTJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Souto de Souza	Black Belt Third Degree	Black	3	De Souza Dojo	International Brazilian Jiu-Jitsu Federation	IBJJF
Alex Takeshi Nakadaki	Black Belt	Black		EBJJA/Kuroiwa	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Vicari	Black Belt	Black		Academia ACBJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alex Welisson de Souza	Black Belt First Degre	Black	1	Gracie Humaita	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexander B. Siedule	Black Belt Second Degree	Black	2	BJJ FC Calgary	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexander Egarter	Black Belt	Black		Carlson Gracie Austria	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexander F. Fonseca Taveira	Black Belt Second Degree	Black	2	Gracie Barra America	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexander Fernandes da Silva	Black Belt Fourth Degree	Black	4	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexander Matthew Todorovich	Black Belt	Black		CheckMat USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexander Morales Nogueira	Black Belt	Black		Julio Secco	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexander Vamos	Black Belt Second Degree	Black	2	D'Arce Jiu-Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre  Costa de Azevedo Pereira Braga	Black Belt	Black		Focus Jiu-Jitsu	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Alexandre Alberto Farias de Castro	Black Belt Third Degree	Black	3	Castro Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Altenburg O. M. Frota	Black Belt Second Degree	Black	2	Alexandre Odebrecht BJJ Team Dubai	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexandre Barauna da Conceição	Black Belt Fifth Degree	Black	5	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Barroso de Almeida	Black Belt First Degre	Black	1	Be One Jiu-Jitsu Academy	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Benedito Muniz das Chagas	Black Belt	Black		Cei Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre C. Freitas	Black Belt Fifth Degree	Black	5	Soca Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Candido de Souza Junior	Black Belt Second Degree	Black	2	Xeleco Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Carlos dos Santos	Black Belt First Degre	Black	1	GF Team Santo Antão - CTA	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Carrera de Menezes	Black Belt First Degre	Black	1	Top Brother	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Castellões da Silva	Black Belt First Degre	Black	1	Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Cesar dos Santos	Black Belt Third Degree	Black	3	G13 BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Cesar Souza da Silva	Black Belt Second Degree	Black	2	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Concieiro Pimentel	Black Belt Fifth Degree	Black	5	Elite Force BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Couceiro Ribeiro	Black Belt Fourth Degree	Black	4	Six Blades Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre da Silva	Black Belt	Black		Careca-Atos Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre da Silva Paulo	Black Belt Second Degree	Black	2	UAE Jiu-Jitsu Team	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexandre de Mello Collares	Black Belt Second Degree	Black	2	Alliance International	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexandre de Miranda Santos	Black Belt	Black		Gracie Humaita	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre de Oliveira Nascimento	Black Belt Second Degree	Black	2	De La Riva International	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexandre de Souza	Black Belt Third Degree	Black	3	TJJ School	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre dos Santos	Black Belt Fourth Degree	Black	4	Australia ASBJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexandre Elias Quintela de Oliveira	Black Belt Third Degree	Black	3	Quintella BJJ USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Fernandes Dantas	Black Belt Fifth Degree	Black	5	Gracie Barra Fort Lauderdale	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Figueiredo Carvalho	Black Belt Second Degree	Black	2	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Gonçalves da Silva	Red and Black Belt Seventh Degree	Red and Black	7	Equipe PH Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Guajara Rodrigues	Black Belt	Black		Ares BJJ Brasil	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Henrique de Souza	Black Belt Second Degree	Black	2	Ryan Gracie Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Krauze Cabeçudo	Black Belt Second Degree	Black	2	De La Riva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Machado	Black Belt Third Degree	Black	3	Alexandre Machado Association - AMA  Jiu-Jitsu Team	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Alexandre Magno Minari de Andrade	Black Belt Third Degree	Black	3	Osvaldo Alves	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Marciano Ricardo	Black Belt Third Degree	Black	3	Seth Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Minoru Nakahama	Black Belt First Degre	Black	1	Team Nakahama	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Nascimento de Oliveira	Black Belt	Black		Manimal Family	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Nielsen	Black Belt Second Degree	Black	2	GF Team Moemacrew	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Ogawa	Black Belt Third Degree	Black	3	Ogawa Jiu-Jitsu	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Alexandre Paiva Cardoso	Black Belt Second Degree	Black	2	Equipe Fadda Brazilian Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Paiva Genovesi	Black Belt Sixth Degree	Black	6	Alliance RJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Passos Nunes	Black Belt Third Degree	Black	3	Renzo Gracie	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Prison da Silva	Black Belt	Black		Magoo JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Ranieri do Carmo	Black Belt	Black		Gracie Barra Campinas	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Ricardo Mapeli	Black Belt First Degre	Black	1	Manimal Family	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Sá Brandão	Black Belt Fourth Degree	Black	4	Ribeiro Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Silva da Rocha	Black Belt	Black		Zenith North BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Takeshi Ogawa	Black Belt	Black		Gracie Barra San Diego	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Thomaz Harrison	Black Belt Second Degree	Black	2	Top Brother	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Vasconcelos dos Santos	Black Belt Third Degree	Black	3	Batatinha Team Italia	International Brazilian Jiu-Jitsu Federation	IBJJF
Alexandre Vasconcelos Lopes de Lima	Black Belt First Degre	Black	1	De La Riva JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Alexandre Verga	Black Belt	Black		Start Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Viana de Britto	Black Belt Fourth Degree	Black	4	Alliance Boca Raton	United States Brazilian Jiu-Jitsu Federation	USBJJF
Alexandre Xavier Rodrigues Cunha	Black Belt First Degre	Black	1	Academia Serrana Petrópolis de Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
