AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
John A. Ramirez	Black Belt Fourth Degree	Black	4	New Breed Jiu Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Anthony Villarruel	Black Belt Second Degree	Black	2	Black Diamond BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Bernard Will	Black Belt Fourth Degree	Black	4	Will-Machado BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
John Bertus Kennedy	Black Belt	Black		Gracie Barra Alabama	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Cole	Black Belt	Black		Team Oliveira	United States Brazilian Jiu-Jitsu Federation	USBJJF
John D Carlquist	Black Belt Third Degree	Black	3	Unified Jiu Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Edward Clarke	Black Belt Second Degree	Black	2	Broadway Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Herbert Medeiros	Black Belt First Degre	Black	1	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
John J. Disimone III	Black Belt Second Degree	Black	2	Ribeiro Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
John James Piper	Black Belt First Degre	Black	1	Charlotte Jiu-Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Kleicy Kurschat Aguiar	Black Belt First Degre	Black	1	Studio 092	Confederação Brasileira de Jiu-Jitsu	CBJJ
John Lucas Mendonça dos Santos	Black Belt	Black		Gracie Barra Armação dos Búzios	Confederação Brasileira de Jiu-Jitsu	CBJJ
John Manis Jr.	Black Belt	Black		A-Force Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Mark Frankl	Black Belt Fourth Degree	Black	4	John Frankl Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
John Michael Williams	Black Belt	Black		CheckMat USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
John P. Nelson	Black Belt First Degre	Black	1	Alliance Pennsylvania	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Paul Hartley	Black Belt Second Degree	Black	2	Leão Marinho BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
John Peter Canestaro	Black Belt	Black		GF Team California	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Raub Schell Jr	Black Belt	Black		Team Rubao Carioca BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Robert Jordan Jr.	Black Belt Second Degree	Black	2	10/50	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Shin	Black Belt	Black		Big Brothers	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Silva Aguiar	Black Belt	Black		Game Fight UK	International Brazilian Jiu-Jitsu Federation	IBJJF
John Thomas	Black Belt	Black		Meleiro Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Veloso Ouano	Black Belt Fourth Degree	Black	4	Equipe Tsunami Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
John William Diedenhofen IV	Black Belt	Black		CheckMat USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
John William Orr	Black Belt Second Degree	Black	2	Brazilian Top Team Long Beach	United States Brazilian Jiu-Jitsu Federation	USBJJF
John Winthrop Crouch Jr	Black Belt Second Degree	Black	2	JCBJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Johnatha Guido dos Santos Silveira	Black Belt First Degre	Black	1	096 School Of Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
John-Nektarios Chatziiakovou	Black Belt Third Degree	Black	3	Gracie Barra Greece	International Brazilian Jiu-Jitsu Federation	IBJJF
Johnny Guerrero	Black Belt First Degre	Black	1	Rigan Machado	United States Brazilian Jiu-Jitsu Federation	USBJJF
Johnny L. Tuggle	Black Belt	Black		My Elevation 360 Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Johnny Zemouli	Black Belt Second Degree	Black	2	Brazilian Top Team Int.	International Brazilian Jiu-Jitsu Federation	IBJJF
Johnson Rodrigues Teixeira	Black Belt First Degre	Black	1	Carlson Gracie Leme	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jon Darryl Bjorksten	Black Belt Third Degree	Black	3	Alliance Edinburg Texas	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jon Jeffrey Doner	Black Belt Third Degree	Black	3	CheckMat USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jon Pineiro	Black Belt	Black		Ghost Squad BJJ Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonas Plerre Barros Oliveira	Black Belt	Black		Cadam/Centro de Autodefesa Artes Marciais	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonas Ramos Cipriano	Black Belt Second Degree	Black	2	Fernando Pinduka	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonatan Vega Tejera	Black Belt Second Degree	Black	2	Team Gil Catarino	International Brazilian Jiu-Jitsu Federation	IBJJF
Jonatas Barbosa Dantas	Black Belt First Degre	Black	1	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonatas de Oliveira Melo	Black Belt First Degre	Black	1	GF Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonatas Eliaquim da Silva	Black Belt Second Degree	Black	2	Alliance Los Angeles	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonatas Jefferson Correa Matheus	Black Belt	Black		Hélio Soneca Brazilian JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonatas Luiz da Sá	Black Belt Second Degree	Black	2	DDR Jiu-Jitsu Internacional	International Brazilian Jiu-Jitsu Federation	IBJJF
Jonatas Novaes	Black Belt Third Degree	Black	3	Channel Islands BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonathan David Correa	Black Belt	Black		BJJ Coach Intl. Association	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonathan L. Terry	Black Belt	Black		NYC Lifestyle BJJ - Fabricio Medici	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonathan Medina	Black Belt	Black		New Breed Jiu Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonathan Medrado Barros	Black Belt	Black		Zenith BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonathan Miguel Swift	Black Belt	Black		Gracie Barra Columbus	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jonathan Torres	Black Belt Third Degree	Black	3	Essential Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jone dos Santos Duarte	Black Belt First Degre	Black	1	Game Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jonghyeon Park	Black Belt	Black		MU Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Joni da Silva Vieira	Black Belt First Degre	Black	1	AJ Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jordan Mark Blanchard	Black Belt	Black		Gracie Barra Temecula	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jordan Matthew Breager Kontra	Black Belt	Black		Ares BJJ Alaska	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jordan Samuel Lutsky	Black Belt	Black		Double Five Highland Village	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jordy Anna Jean Antoon Peute	Black Belt Second Degree	Black	2	Gracie Barra Maastricht	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge Alberto Closel	Black Belt	Black		Lotus Club USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jorge Azevedo dos Santos Júnior	Black Belt Second Degree	Black	2	JFC Almeida JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jorge Barbosa Alves	Black Belt Second Degree	Black	2	Clube Orley Lobato	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jorge Britto Lima Filho	Black Belt Fourth Degree	Black	4	Toronto BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge Daniel Vega Mezarina	Black Belt First Degre	Black	1	Lotus Club International	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge dos Santos Pereira	Black Belt Second Degree	Black	2	JS Brazilian Jiu-Jitsu	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge Eduardo Pinto	Black Belt	Black		Alliance Marcelo Garcia International	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge H. Pastor Riande	Black Belt	Black		Academie Caio Terra	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge Luis Patino	Black Belt Third Degree	Black	3	Gold Team Fighters USA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jorge Luiz da Silva Cosenza	Black Belt	Black		DDR JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jorge Luiz de Mello Fernandes Junior	Black Belt	Black		American Top Team	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jorge Luiz dos Santos de Almeida	Black Belt	Black		Arte Livre Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jorge Luiz Vitorino de Araujo Macedo	Black Belt	Black		Essence BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jorge Massato Takata	Black Belt	Black		Impacto Japan B.J.J.	Japan Brazilian Jiu-Jitsu Federation	JBJJF
Jorge Omar Ledesma	Black Belt	Black		Mario Sukata Internacional	International Brazilian Jiu-Jitsu Federation	IBJJF
Jorge Pereira Pinto	Red and Black Belt Seventh Degree	Red and Black	7	Jorge Pereira Jiu-Jitsu Club	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jorge Rafael Elizondo	Black Belt Second Degree	Black	2	JP - BJJ - Elizondo	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jory Wayne Malone	Black Belt Third Degree	Black	3	Jory Malone Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Adilson Ferreira	Red and White Belt Eighth Degree	Red and White	8	Equipe Gavião Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Akel Valente Freitas	Black Belt First Degre	Black	1	Osvaldo Alves	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Alberto Rodrigues Ferreira	Black Belt	Black		Gracie Barra Goiania - GO	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Alexandrino Alencar Filho	Black Belt First Degre	Black	1	Gracie Barra Salvador-BA	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Antonio Rivera	Black Belt	Black		TRBJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Aparecido Santos Gomes	Black Belt	Black		Raiz Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Arari de Carvalho Junior	Black Belt	Black		Gracie Barra Birmingham	International Brazilian Jiu-Jitsu Federation	IBJJF
Jose Arimateia Lima Barbosa Junior	Black Belt First Degre	Black	1	De La Riva International	International Brazilian Jiu-Jitsu Federation	IBJJF
José Arnaldo Bueno Alves	Black Belt First Degre	Black	1	Ryan Gracie Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Arnaldo dos Santos	Black Belt Second Degree	Black	2	Brazilian Power Team	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
José Augusto Rocha da Silva	Black Belt Fifth Degree	Black	5	Association Gato Brazilian Jiu-Jitsu - AGBJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Beltran Martinez	Black Belt Second Degree	Black	2	Crazy Team	International Brazilian Jiu-Jitsu Federation	IBJJF
José Caetano de Mattos Neto	Black Belt	Black		Equipe Fabricio Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Carlos Andrade Zuzarte de Mendonça	Black Belt	Black		Kikojiu	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Jose Carlos de Souza Rollyson	Red and White Belt Eighth Degree	Red and White	8	Alliance South Florida	United States Brazilian Jiu-Jitsu Federation	USBJJF
José Carlos Dias	Black Belt First Degre	Black	1	Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Carlos Gomes Pereira Neto	Black Belt First Degre	Black	1	Carlson Gracie International	International Brazilian Jiu-Jitsu Federation	IBJJF
José Carlos Mendonça Mendes Júnior	Black Belt Third Degree	Black	3	Team Jucão	United States Brazilian Jiu-Jitsu Federation	USBJJF
José Carlos Vieira da Silva	Black Belt	Black		Alliance RJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Carneiro Vasconcelos Junior	Black Belt	Black		Constrictor Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Domingues de Moraes Junior	Black Belt	Black		Nova União	Confederação Brasileira de Jiu-Jitsu	CBJJ
José dos Santos Júnior	Black Belt Second Degree	Black	2	Alliance SP	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Edson Moreira de Almeida	Black Belt First Degre	Black	1	Fernando Pinduka	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Eduardo da Costa Leandro	Black Belt Second Degree	Black	2	BD Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Eduardo de Oliveira	Black Belt Third Degree	Black	3	Equipe Bravo Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Eduardo Galvão de Castro Menezes	Black Belt Fifth Degree	Black	5	Escola de JJ Leão Teixeira	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Everaldo Gonçalves	Black Belt Second Degree	Black	2	Gracie Barra Sul	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Felipe Lucena de Mendonça	Black Belt	Black		J. Extremo	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Felix	Black Belt Sixth Degree	Black	6	Centro Esportivo Irmãos Felix de Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Fernando Sarmento Jr	Black Belt Third Degree	Black	3	Tong Dragon MMA	United States Brazilian Jiu-Jitsu Federation	USBJJF
José Ferreira da Silva Júnior	Black Belt Third Degree	Black	3	Arena Saudi Arabia	International Brazilian Jiu-Jitsu Federation	IBJJF
José Ferreira da Silva Neto	Black Belt First Degre	Black	1	Escola Bragantina de Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Germano Chatti Filho	Black Belt	Black		Gracie Barra New England	United States Brazilian Jiu-Jitsu Federation	USBJJF
Jose Guilherme Valente Bohns Filho	Black Belt	Black		Julio Secco	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Helio Couto Maia	Black Belt	Black		Zenith BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Jose Henrique Chierighini	Black Belt First Degre	Black	1	Ikaika BJJ academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
José Henrique Leão Teixeira Filho	Red and Black Belt Seventh Degree	Red and Black	7	Escola de JJ Leão Teixeira	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Henrique Saraiva Nascimento	Black Belt Fourth Degree	Black	4	Carlson Gracie International	International Brazilian Jiu-Jitsu Federation	IBJJF
José Honório da Silva Filho	Black Belt Third Degree	Black	3	Companhia Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Ivan Ribeiro Júnior	Black Belt Third Degree	Black	3	Academia Ivan Ribeiro Jiu-Jitsu	Confederação Brasileira de Jiu-Jitsu	CBJJ
José Jairo Moura	Red Belt Ninth Degree	Red	9	Moura Jiu-Jitsu Clube	Confederação Brasileira de Jiu-Jitsu	CBJJ
